BOR;AN;FI;RS;FI_EJ;EMGER;EVALIH;EVALEH;FILACT;ETP;UGER;LIT_GER;PLA_GER;SEJHC_GER;SEJHP_GER;JOU_GER;EFFPL_PM;EFFPL_GER;EFFPA_PM;EFFPA_GER;ETP_PM;ETP_GER;GAR_PM;GAR_GER;AST_PM;AST_GER;EFFPL_INF;EFFPL_AID;EFFPL_ERG;EFFPL_PMT;EFFPL_APNM;EFFPA_INF;EFFPA_AID;EFFPA_ERG;EFFPA_PMT;EFFPA_APNM;ETP_INF;ETP_AID;ETP_ERG;ETP_PMT;ETP_APNM
MCOGER;2020;010000024;CH DE FLEYRIAT;010780054;1;435;395;1039;1.25;1;22;0;907;0;7263;;;4;4;2;2;0;0;0;0;11;11;;;5;8;2;2;;3;14.59;13.05;0.7;;5.94
MCOGER;2020;010000065;CH DE TREVOUX - MONTPENSIER;010780096;0;;;;;1;46;;1600;0;12257;4;;4;1;6.4;0.83;0;0;1;1;12;9;;;4;18;29;1;;7;20.8;25.44;0.1;;8.11
MCOGER;2020;010000099;CH DE MEXIMIEUX;010780120;0;;;;;1;9;;155;0;2414;;;4;1;0.42;0.09;0;0;0;0;7;24;;;40;6;10;;;4;3.66;7.1;;;6.46
MCOGER;2020;010000107;CH DE PONT DE VAUX;010780138;0;;;;;1;15;;192;0;2320;1;1;1;1;0.94;0.86;;;;;8;12;;;;3;1;1;;;4.05;5.98;0.6;;
MCOGER;2020;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;0;;;;;1;12;0;133;0;2783;;;3;2;0.27;0.25;0;0;0;0;1;4;;;3;2;4;1;;11;2.64;7.33;0.08;;5.47
MCOGER;2020;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;0;;;;;1;20;;208;0;3102;;;2;1;0.42;0.4;0;0;0;0;2;1;;;1;3;2;1;;9;3.8;1.06;0.05;;3.8
MCOGER;2020;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;0;;;;;1;10;0;97;0;1510;1;;3;1;0.85;0.25;0;0;1;;;;;;;22;27;;;36;5.16;7.56;;;4.81
MCOGER;2020;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;0;;;;;1;15;0;257;0;2810;0;0;0;0;0.94;0;;;1;;3;4;0;0;1;2;0;0;0;0;5.98;8.37;0;0;0.96
MCOGER;2020;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;0;;;;;1;26;;579;0;6220;2;2;;;2.32;2.32;0;0;0;0;6;9;;;;5;4;;;;11.55;16.57;;;
MCOGER;2020;020000097;CH LA FÈRE;020000048;0;;;;;1;38;0;490;0;8055;4;3;;;4;3;0;0;1;1;19;25;;;5;3;2;;;1;21.05;26.76;;;5.86
MCOGER;2020;020000105;CH LE NOUVION-EN-THIÉRACHE;020000055;0;;;;;1;14;0;233;0;2985;1;;1;;0.94;;;;1;;11;12;;;5;;1;;;2;6.85;7.95;0.2;;4.51
MCOGER;2020;020000162;CH SAINT-QUENTIN;020000063;1;244;0;200;1;1;50;0;2072;0;15136;2;2;1;1;2.8;2.8;0;0;0;0;15;19;0;0;5;2;2;0;0;5;15.1;18.25;0;0;7.23
MCOGER;2020;020000394;CH LAON;020000253;1;;;;1.4;1;25;0;545;6;8889;5;3;1;1;4.76;2.72;0;0;0;0;11;11;0;0;0;0;0;0;0;4;10.28;10.25;0;0;2.45
MCOGER;2020;020000519;CH SOISSONS;020000261;1;136;;127;;1;15;;;;;2;;;;2;;0;;1;;;;;;;;;;;;;;;;
MCOGER;2020;020000535;CH CHAUNY;020000287;1;122;0;115;0.1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2020;020001061;CH CHÂTEAU-THIERRY;020004404;1;;;;0.2;1;21;;891;0;7335;;;;;;;0;0;0;0;9;9;;;2;;;;;;9;9;;;2
MCOGER;2020;020001087;CH HIRSON;020004495;0;;;;;1;14;1;691;27;6938;2;0;4;0;4.68;0;0;0;1;0;18;22;0;0;9;6;4;;;1;21.88;25.8;;;9.19
MCOGER;2020;030000061;CH DE MOULINS;030780092;1;489;0;445;3.34;1;20;0;516;32;8198;3;1;0;0;2.74;1;0;0;0;0;9;14;;;2;5;1;;;3;13.44;15.68;;;1.95
MCOGER;2020;030000079;CH DE MONTLUCON;030780100;1;61;;61;0.6;1;30;;832;0;9968;2;2;;;2.63;2.63;0;0;1;1;7;6;;;8;;3;;;;10.34;12.48;;;6.15
MCOGER;2020;030000087;CH JACQUES LACARIN VICHY;030780118;1;726;8;572;2.75;1;27;2;631;61;10199;3;2;;;2.23;1.23;0;0;0;0;10;11;0;0;5;3;3;0;0;4;12.07;14.25;0;0;6.9
MCOGER;2020;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;1;164;655;491;2.1;1;24;2;730;23;7346;1;1;12;12;3.1;3.1;1;1;0;0;;;;;;30;20;;;9;8.29;5.85;;;2.32
